YEAR,EDGROUP,FTOTVAL
1964,0,2368.0
1964,1,2600.0
1964,2,4760.0
1964,3,6640.0
1964,4,8300.0
1964,5,10000.0
1965,0,2200.0
1965,1,2780.0
1965,2,4677.0
1965,3,6970.0
1965,4,8750.0
1965,5,10400.0
1966,0,2332.0
1966,1,2800.0
1966,2,5000.0
1966,3,7300.0
1966,4,9110.0
1966,5,11000.0
1967,0,2782.0
1967,1,3262.0
1967,2,5500.0
1967,3,7950.0
1967,4,9960.0
1967,5,11550.0
1968,0,7750.0
1968,1,3156.0
1968,2,5629.0
1968,3,8133.5
1968,4,10100.0
1968,5,12290.0
1969,0,8500.0
1969,1,3602.0
1969,2,6152.0
1969,3,8971.0
1969,4,10944.0
1969,5,13006.0
1970,0,9234.0
1970,1,3638.0
1970,2,6593.5
1970,3,9763.0
1970,4,11934.0
1970,5,14300.0
1971,0,9623.0
1971,1,3991.0
1971,2,6889.0
1971,3,10090.0
1971,4,12380.0
1971,5,15341.0
1972,0,10000.0
1972,1,4391.0
1972,2,7000.0
1972,3,10416.0
1972,4,12724.0
1972,5,16095.0
1973,0,10783.0
1973,1,4506.0
1973,2,7526.5
1973,3,11250.0
1973,4,13800.0
1973,5,17107.5
1974,0,11800.0
1974,1,4734.0
1974,2,8090.0
1974,3,12073.5
1974,4,14676.5
1974,5,18086.0
1975,0,12380.0
1975,1,5000.0
1975,2,8704.0
1975,3,12900.0
1975,4,15703.5
1975,5,18923.0
1976,0,12530.0
1976,1,5500.0
1976,2,8966.0
1976,3,13501.0
1976,4,16831.5
1976,5,20750.0
1977,0,13774.0
1977,1,6076.0
1977,2,9535.0
1977,3,14595.0
1977,4,17600.0
1977,5,21646.5
1978,0,14900.0
1978,1,6582.0
1978,2,10025.0
1978,3,15540.0
1978,4,19000.0
1978,5,23200.0
1979,0,16035.0
1979,1,7050.0
1979,2,10745.0
1979,3,16970.0
1979,4,20400.0
1979,5,25436.5
1980,0,17999.0
1980,1,7444.0
1980,2,10628.0
1980,3,18505.0
1980,4,22310.5
1980,5,27757.0
1981,0,18920.0
1981,1,8095.5
1981,2,11265.5
1981,3,19560.0
1981,4,24208.0
1981,5,30020.0
1982,0,20000.0
1982,1,9197.0
1982,2,12050.0
1982,3,20689.0
1982,4,26487.0
1982,5,33357.5
1983,0,20200.0
1983,1,9699.0
1983,2,12149.0
1983,3,21010.0
1983,4,27740.0
1983,5,35826.0
1984,0,20896.0
1984,1,9227.0
1984,2,12891.0
1984,3,21702.0
1984,4,29328.0
1984,5,38400.0
1985,0,23000.0
1985,1,10559.0
1985,2,13822.0
1985,3,23420.0
1985,4,31200.0
1985,5,41324.0
1986,0,24100.0
1986,1,10700.0
1986,2,14194.0
1986,3,24364.0
1986,4,32765.0
1986,5,44100.0
1987,0,25025.0
1987,1,10246.0
1987,2,14444.0
1987,3,25120.0
1987,4,34750.0
1987,5,45850.0
1988,0,26541.0
1988,1,10808.5
1988,2,14774.0
1988,3,26200.0
1988,4,36801.0
1988,5,47675.5
1989,0,27700.0
1989,1,11309.0
1989,2,15180.0
1989,3,27001.0
1989,4,37586.0
1989,5,50381.0
1990,0,29476.0
1990,1,12474.0
1990,2,16487.0
1990,3,28500.0
1990,4,40100.0
1990,5,53568.0
1991,0,29792.0
1991,1,13520.0
1991,2,16514.5
1991,3,29000.0
1991,4,40980.0
1991,5,55162.0
1992,0,30000.0
1992,1,13198.0
1992,2,16300.0
1992,3,28000.0
1992,4,41362.0
1992,5,60900.0
1993,0,30620.0
1993,1,14000.0
1993,2,16409.0
1993,3,28212.0
1993,4,42208.0
1993,5,63400.0
1994,0,31215.0
1994,1,14475.0
1994,2,16552.0
1994,3,28450.0
1994,4,42515.5
1994,5,65900.0
1995,0,33434.0
1995,1,15000.0
1995,2,17800.0
1995,3,30000.0
1995,4,44060.0
1995,5,66500.0
1996,0,33539.0
1996,1,15816.0
1996,2,18400.0
1996,3,30437.0
1996,4,45084.0
1996,5,69859.0
1997,0,34591.5
1997,1,15167.0
1997,2,19290.0
1997,3,31511.0
1997,4,46799.0
1997,5,71331.5
1998,0,36960.0
1998,1,16191.0
1998,2,20026.0
1998,3,33069.0
1998,4,49000.0
1998,5,76001.0
1999,0,38282.0
1999,1,17710.0
1999,2,21360.0
1999,3,34136.0
1999,4,51000.0
1999,5,79508.0
