YEAR,SCHOOLYEARS,FTOTVAL
1964,0,4217.146464877237
1964,1,3600.4509992061417
1964,2,4375.128810795219
1964,3,5144.019546064829
1964,4,7249.663107065118
1964,5,8664.293119437298
1965,0,3757.461347353138
1965,1,3918.397340203299
1965,2,4995.923562442384
1965,3,5701.295753249878
1965,4,7941.850234599929
1965,5,11125.086654665814
1966,0,3628.216721181479
1966,1,3655.278067148415
1966,2,4711.593165331744
1966,3,5340.535969214361
1966,4,7706.949320670658
1966,5,9353.11374752317
1967,0,4196.813458944501
1967,1,3896.5225280925597
1967,2,5120.594181418613
1967,3,5660.656488760221
1967,4,7633.893679094556
1967,5,9064.900812314792
1968,0,5459.3048095477925
1968,1,3849.1347704050413
1968,2,5091.355637875614
1968,3,5733.286982234161
1968,4,7579.420787853899
1968,5,9164.986032522798
1969,0,6016.516571394887
1969,1,4296.711865823909
1969,2,5585.350771672194
1969,3,6101.01453068652
1969,4,7930.532889882471
1969,5,9425.73205814974
1970,0,6513.260871428725
1970,1,4863.366748621185
1970,2,6009.859514642131
1970,3,6640.375664806683
1970,4,8702.079269582242
1970,5,10374.100608279983
1971,0,6920.227157348223
1971,1,4981.262738891377
1971,2,6527.449714669402
1971,3,7076.976219383175
1971,4,8993.732645180957
1971,5,10815.957111467093
1972,0,7153.555290838685
1972,1,5131.523095241501
1972,2,6714.791211811621
1972,3,7385.516314429129
1972,4,9505.696177463467
1972,5,10784.259325083172
1973,0,7669.5816626607275
1973,1,5937.051801979417
1973,2,7451.367478558017
1973,3,8078.284750401686
1973,4,10071.971901354276
1973,5,11451.148330627184
1974,0,8264.864093059336
1974,1,6058.273795939016
1974,2,7930.4640563773655
1974,3,8604.426956491621
1974,4,10388.678442396435
1974,5,11584.918277660505
1975,0,8774.969734728273
1975,1,6478.974785334423
1975,2,8345.113987982586
1975,3,9126.429491046858
1975,4,10887.37658193074
1975,5,11940.140432635932
1976,0,9913.993769845014
1976,1,6652.793893136792
1976,2,8969.65944389889
1976,3,9962.765297394382
1976,4,12356.923425650197
1976,5,14308.10733004494
1977,0,10566.300198915833
1977,1,7349.267861735987
1977,2,9724.870416239924
1977,3,10901.719787026017
1977,4,13414.90953816723
1977,5,15411.960743036647
1978,0,11106.10344080127
1978,1,7959.717620072513
1978,2,10976.99143100245
1978,3,11696.123025734018
1978,4,14318.820171025993
1978,5,16457.53200018788
1979,0,11900.960908606856
1979,1,8483.548918823943
1979,2,11472.314989121309
1979,3,12836.447098871084
1979,4,15385.600137107698
1979,5,17974.268645019518
1980,0,13276.895749894717
1980,1,9362.921115493295
1980,2,11636.234230455602
1980,3,13952.41050875404
1980,4,16827.27960498123
1980,5,18746.49777421609
1981,0,13981.14202641006
1981,1,10273.715522693079
1981,2,11949.987228921986
1981,3,15088.473407203415
1981,4,17750.271525816675
1981,5,18949.18018482082
1982,0,15921.305333188291
1982,1,11606.787392840433
1982,2,13518.28971081031
1982,3,16578.541648935625
1982,4,20155.37762391638
1982,5,23172.12675078981
1983,0,17654.09633788522
1983,1,11240.323817974437
1983,2,13885.403391314154
1983,3,17648.589130099062
1983,4,22068.998580636686
1983,5,25866.57548309965
1984,0,18604.553312774366
1984,1,12308.503666304528
1984,2,14956.463356562163
1984,3,18510.94167810187
1984,4,22833.69706193742
1984,5,26025.72389994399
1985,0,20668.92794634096
1985,1,13517.06796609155
1985,2,16686.88029166336
1985,3,20549.581752041115
1985,4,26080.3542825494
1985,5,31840.876601053067
1986,0,22030.19925211388
1986,1,13712.503945220467
1986,2,17143.25542692142
1986,3,21519.416534123062
1986,4,26985.9267364257
1986,5,32506.639522723726
1987,0,22881.709104440506
1987,1,13776.083116338426
1987,2,18004.397407023946
1987,3,22200.24738791087
1987,4,28720.84546467526
1987,5,34392.99649613201
1988,0,24486.821975509883
1988,1,16192.245240193459
1988,2,18537.742750618407
1988,3,23766.146301088826
1988,4,29719.660625720433
1988,5,36419.3249730422
1989,0,25174.106297484454
1989,1,15408.385345144901
1989,2,18713.567229829678
1989,3,24456.676114106252
1989,4,30587.273218467457
1989,5,36580.249997060164
